	ID	cluster	start	stop	strand	family	length of spanned region	genome	contig
21	GNM526588001567_1_IS_8	IS5_112	339786	340957		IS5	1171	GNM526588001567	GNM526588001567_1
24	GNM526588001567_1_IS_9	IS630_247	342966	344023		IS630	1057	GNM526588001567	GNM526588001567_1
27	GNM526588001567_1_IS_10	IS5_112	394984	396157		IS5	1173	GNM526588001567	GNM526588001567_1
30	GNM526588001567_1_IS_11	IS256_128	461008	462313		IS256	1305	GNM526588001567	GNM526588001567_1
33	GNM526588001567_1_IS_12	IS5_112	618017	619187		IS5	1170	GNM526588001567	GNM526588001567_1
36	GNM526588001567_1_IS_13	IS256_128	626267	627572		IS256	1305	GNM526588001567	GNM526588001567_1
39	GNM526588001567_1_IS_14	IS3_271	634144	634987	+	IS3	843	GNM526588001567	GNM526588001567_1
42	GNM526588001567_1_IS_15	IS5_112	636234	637404		IS5	1170	GNM526588001567	GNM526588001567_1
45	GNM526588001567_1_IS_16	IS5_112	660605	661776		IS5	1171	GNM526588001567	GNM526588001567_1
48	GNM526588001567_1_IS_17	IS5_112	698571	699742		IS5	1171	GNM526588001567	GNM526588001567_1
51	GNM526588001567_1_IS_18	IS5_108	934892	936361	+	IS5	1469	GNM526588001567	GNM526588001567_1
54	GNM526588001567_1_IS_19	IS630_247	1158267	1159325		IS630	1058	GNM526588001567	GNM526588001567_1
57	GNM526588001567_1_IS_20	IS3_239|IS3||protein:plasmid:133558	1477319	1477868		IS3	549	GNM526588001567	GNM526588001567_1
60	GNM526588001567_1_IS_21	IS3_271	1574149	1575001		IS3	852	GNM526588001567	GNM526588001567_1
63	GNM526588001567_1_IS_22	IS256_128	1577252	1578557		IS256	1305	GNM526588001567	GNM526588001567_1
66	GNM526588001567_1_IS_23	IS256_128	1584489	1585794		IS256	1305	GNM526588001567	GNM526588001567_1
69	GNM526588001567_1_IS_24	IS5_112	1689350	1690519		IS5	1169	GNM526588001567	GNM526588001567_1
72	GNM526588001567_1_IS_25	IS5_112	1877883	1879060	+	IS5	1177	GNM526588001567	GNM526588001567_1
75	GNM526588001567_1_IS_26	IS110_184	1896409	1897547	-	IS110	1138	GNM526588001567	GNM526588001567_1
78	GNM526588001567_1_IS_27	IS110_208	1897760	1899057	-	IS110	1297	GNM526588001567	GNM526588001567_1
81	GNM526588001567_1_IS_28	IS6_303	1898852	1900158	-	IS6	1306	GNM526588001567	GNM526588001567_1
84	GNM526588001567_1_IS_29	IS21_38	1901390	1905661	-	IS21	4271	GNM526588001567	GNM526588001567_1
87	GNM526588001567_1_IS_30	IS5_112	1914473	1915582		IS5	1109	GNM526588001567	GNM526588001567_1
88	GNM526588001567_1_IS_31	IS630_247	1927926	1928983	+	IS630	1057	GNM526588001567	GNM526588001567_1
91	GNM526588001567_1_IS_32	IS110_208	1937930	1939349		IS110	1419	GNM526588001567	GNM526588001567_1
94	GNM526588001567_1_IS_33	IS5_108	1943901	1945667	+	IS5	1766	GNM526588001567	GNM526588001567_1
97	GNM526588001567_1_IS_34	IS3_271	1948705	1949570		IS3	865	GNM526588001567	GNM526588001567_1
100	GNM526588001567_1_IS_35	IS5_112	2073406	2074583		IS5	1177	GNM526588001567	GNM526588001567_1
103	GNM526588001567_1_IS_36	IS5_112	2115188	2116359		IS5	1171	GNM526588001567	GNM526588001567_1
106	GNM526588001567_1_IS_37	IS110_208	2173804	2175170	-	IS110	1366	GNM526588001567	GNM526588001567_1
109	GNM526588001567_1_IS_38	IS5_112	2391932	2393103		IS5	1171	GNM526588001567	GNM526588001567_1
112	GNM526588001567_1_IS_39	IS256_128	2421384	2422689	+	IS256	1305	GNM526588001567	GNM526588001567_1
115	GNM526588001567_1_IS_40	IS5_112	2451028	2452144		IS5	1116	GNM526588001567	GNM526588001567_1
118	GNM526588001567_1_IS_41	IS5_108	2453490	2454954		IS5	1464	GNM526588001567	GNM526588001567_1
121	GNM526588001567_1_IS_42	IS5_112	2455223	2456399		IS5	1176	GNM526588001567	GNM526588001567_1
124	GNM526588001567_1_IS_43	IS110_170	2460285	2461456	-	IS110	1171	GNM526588001567	GNM526588001567_1
127	GNM526588001567_1_IS_44	IS5_112	2493192	2494369		IS5	1177	GNM526588001567	GNM526588001567_1
130	GNM526588001567_1_IS_45	IS630_247	2495245	2496301		IS630	1056	GNM526588001567	GNM526588001567_1
133	GNM526588001567_1_IS_46	IS6_303	2585384	2586749	-	IS6	1365	GNM526588001567	GNM526588001567_1
136	GNM526588001567_1_IS_47	IS6_303	2603949	2604672	-	IS6	723	GNM526588001567	GNM526588001567_1
139	GNM526588001567_1_IS_48	IS6_303	2630556	2631855	-	IS6	1299	GNM526588001567	GNM526588001567_1
142	GNM526588001567_1_IS_49	IS256_128	2636223	2637528		IS256	1305	GNM526588001567	GNM526588001567_1
145	GNM526588001567_1_IS_50	IS5_302	2638004	2638850	-	IS5	846	GNM526588001567	GNM526588001567_1
148	GNM526588001567_1_IS_51	IS5_112	2639962	2641135		IS5	1173	GNM526588001567	GNM526588001567_1
151	GNM526588001567_1_IS_52	IS110_208	2641902	2643268		IS110	1366	GNM526588001567	GNM526588001567_1
154	GNM526588001567_1_IS_53	IS5_302	2674452	2675296	-	IS5	844	GNM526588001567	GNM526588001567_1
157	GNM526588001567_1_IS_54	IS5_112	2781166	2782343	+	IS5	1177	GNM526588001567	GNM526588001567_1
160	GNM526588001567_1_IS_55	IS5_112	2975271	2976441		IS5	1170	GNM526588001567	GNM526588001567_1
163	GNM526588001567_1_IS_56	IS110_208	2985311	2986604		IS110	1293	GNM526588001567	GNM526588001567_1
166	GNM526588001567_1_IS_57	IS110_208	3307090	3308908	+	IS110	1818	GNM526588001567	GNM526588001567_1
169	GNM526588001567_1_IS_58	IS5_222	3309652	3311134	+	IS5	1482	GNM526588001567	GNM526588001567_1
172	GNM526588001567_1_IS_59	IS5_112	3313170	3314341		IS5	1171	GNM526588001567	GNM526588001567_1
175	GNM526588001567_1_IS_60	IS630_247	3339673	3340728		IS630	1055	GNM526588001567	GNM526588001567_1
178	GNM526588001567_1_IS_61	IS5_112	3352944	3354121	-	IS5	1177	GNM526588001567	GNM526588001567_1
181	GNM526588001567_1_IS_62	IS5_112	3355493	3356670		IS5	1177	GNM526588001567	GNM526588001567_1
184	GNM526588001567_1_IS_63	IS110_208	3358195	3359561	-	IS110	1366	GNM526588001567	GNM526588001567_1
187	GNM526588001567_1_IS_64	IS5_112	3359817	3360988		IS5	1171	GNM526588001567	GNM526588001567_1
190	GNM526588001567_1_IS_65	IS256_128	3373835	3375140		IS256	1305	GNM526588001567	GNM526588001567_1
193	GNM526588001567_1_IS_66	IS1182_100	3375483	3377114	+	IS1182	1631	GNM526588001567	GNM526588001567_1
196	GNM526588001567_1_IS_67	IS5_112	3391789	3392960	-	IS5	1171	GNM526588001567	GNM526588001567_1
199	GNM526588001567_1_IS_68	IS3_239|IS3||protein:plasmid:133558	3514698	3515742		IS3	1044	GNM526588001567	GNM526588001567_1
202	GNM526588001567_1_IS_69	IS5_112	3587036	3588213	+	IS5	1177	GNM526588001567	GNM526588001567_1
205	GNM526588001567_1_IS_70	IS5_112	3594296	3595471		IS5	1175	GNM526588001567	GNM526588001567_1
208	GNM526588001567_1_IS_71	IS5_112	3612138	3613309		IS5	1171	GNM526588001567	GNM526588001567_1
211	GNM526588001567_1_IS_72	IS5_112	3667874	3669049		IS5	1175	GNM526588001567	GNM526588001567_1
214	GNM526588001567_1_IS_73	IS5_112	3719960	3721136		IS5	1176	GNM526588001567	GNM526588001567_1
217	GNM526588001567_1_IS_74	IS630_247	3721534	3722592		IS630	1058	GNM526588001567	GNM526588001567_1
220	GNM526588001567_1_IS_75	IS5_112	3722623	3723800		IS5	1177	GNM526588001567	GNM526588001567_1
223	GNM526588001567_1_IS_76	IS630_247	3771114	3772170	-	IS630	1056	GNM526588001567	GNM526588001567_1
226	GNM526588001567_1_IS_77	IS630_247	3789079	3790135	-	IS630	1056	GNM526588001567	GNM526588001567_1
229	GNM526588001567_1_IS_78	IS5_112	3792307	3793645	-	IS5	1338	GNM526588001567	GNM526588001567_1
230	GNM526588001567_1_IS_79	IS5_302	3800251	3801097	-	IS5	846	GNM526588001567	GNM526588001567_1
233	GNM526588001567_1_IS_80	IS5_112	3884296	3885467		IS5	1171	GNM526588001567	GNM526588001567_1
236	GNM526588001567_1_IS_81	IS630_247	3895347	3896403	-	IS630	1056	GNM526588001567	GNM526588001567_1
239	GNM526588001567_1_IS_82	IS5_112	4064780	4065951		IS5	1171	GNM526588001567	GNM526588001567_1
242	GNM526588001567_1_IS_83	IS5_112	4143871	4145048		IS5	1177	GNM526588001567	GNM526588001567_1
245	GNM526588001567_1_IS_84	IS630_247	4260282	4261337		IS630	1055	GNM526588001567	GNM526588001567_1
248	GNM526588001567_1_IS_85	IS630_247	4384409	4385467		IS630	1058	GNM526588001567	GNM526588001567_1
251	GNM526588001567_1_IS_86	IS5_112	4481142	4482319	+	IS5	1177	GNM526588001567	GNM526588001567_1
254	GNM526588001567_1_IS_87	IS256_128	4574549	4575854		IS256	1305	GNM526588001567	GNM526588001567_1
257	GNM526588001567_1_IS_88	IS256_128	4598731	4600036		IS256	1305	GNM526588001567	GNM526588001567_1
260	GNM526588001567_1_IS_89	IS5_112	4604086	4605263		IS5	1177	GNM526588001567	GNM526588001567_1
263	GNM526588001567_1_IS_90	IS5_112	4614332	4615502		IS5	1170	GNM526588001567	GNM526588001567_1
266	GNM526588001567_1_IS_91	IS5_112	4629037	4630208		IS5	1171	GNM526588001567	GNM526588001567_1
269	GNM526588001567_1_IS_92	IS5_112	4631528	4632699		IS5	1171	GNM526588001567	GNM526588001567_1
272	GNM526588001567_1_IS_93	IS5_302	4632701	4633545		IS5	844	GNM526588001567	GNM526588001567_1
275	GNM526588001567_1_IS_94	IS110_208	4645013	4646432	-	IS110	1419	GNM526588001567	GNM526588001567_1
278	GNM526588001567_1_IS_95	IS630_247	4738205	4739262		IS630	1057	GNM526588001567	GNM526588001567_1
281	GNM526588001567_1_IS_96	IS5_112	4942363	4943720	+	IS5	1357	GNM526588001567	GNM526588001567_1
284	GNM526588001567_1_IS_97	IS5_112	4943750	4944927		IS5	1177	GNM526588001567	GNM526588001567_1
287	GNM526588001567_2_IS_1	IS256_128	102540	104215	-	IS256	1675	GNM526588001567	GNM526588001567_2
290	GNM526588001567_2_IS_2	IS5_112	104144	104978		IS5	834	GNM526588001567	GNM526588001567_2
291	GNM526588001567_2_IS_3	IS5_112	104983	106154	-	IS5	1171	GNM526588001567	GNM526588001567_2
294	GNM526588001567_2_IS_4	IS5_112	138555	139726		IS5	1171	GNM526588001567	GNM526588001567_2
297	GNM526588001567_2_IS_5	IS5_112	259180	260351	-	IS5	1171	GNM526588001567	GNM526588001567_2
300	GNM526588001567_2_IS_6	IS5_112	298402	299579		IS5	1177	GNM526588001567	GNM526588001567_2
303	GNM526588001567_2_IS_7	IS110_208	299426	302723	-	IS110	3297	GNM526588001567	GNM526588001567_2
306	GNM526588001567_3_IS_1	IS3_204	53695	54905	+	IS3	1210	GNM526588001567	GNM526588001567_3
309	GNM526588001567_3_IS_2	IS5_194	99830	101191	-	IS5	1361	GNM526588001567	GNM526588001567_3
312	GNM526588001567_3_IS_3	IS66_46	101469	103458	+	IS66	1989	GNM526588001567	GNM526588001567_3
315	GNM526588001567_3_IS_4	IS3_271	103737	104609	-	IS3	872	GNM526588001567	GNM526588001567_3
318	GNM526588001567_3_IS_5	IS5_194	104857	106211		IS5	1354	GNM526588001567	GNM526588001567_3
321	GNM526588001567_3_IS_6	IS3_271	165547	168790	+	IS3	3243	GNM526588001567	GNM526588001567_3
324	GNM526588001567_4_IS_1	IS91_83	21076	22272	+	IS91	1196	GNM526588001567	GNM526588001567_4
327	GNM526588001567_4_IS_2	IS66_46	53404	55533	+	IS66	2129	GNM526588001567	GNM526588001567_4
330	GNM526588001567_4_IS_3	IS91_83	65072	67106	+	IS91	2034	GNM526588001567	GNM526588001567_4
333	GNM526588001567_5_IS_1	IS5_112	30170	39250	-	IS5	9080	GNM526588001567	GNM526588001567_5
336	GNM526588001567_5_IS_2	IS5_112	139441	148511	-	IS5	9070	GNM526588001567	GNM526588001567_5
0	BK1_1_IS_1	IS3_271	17921	19135	-	IS3	1214	BK1	BK1_1
3	BK1_1_IS_2	IS3_271	2365125	2366341	-	IS3	1216	BK1	BK1_1
6	BK1_1_IS_3	IS3_271	2736820	2738033		IS3	1213	BK1	BK1_1
9	BK1_1_IS_4	IS3_271	3402686	3403901		IS3	1215	BK1	BK1_1
12	BK1_1_IS_5	IS3_271	3556463	3557677	-	IS3	1214	BK1	BK1_1
15	BK1_1_IS_6	IS3_271	3713093	3714309	-	IS3	1216	BK1	BK1_1
18	BK1_2_IS_1	IS3_271	394910	396129	-	IS3	1219	BK1	BK1_2
21	BK1_3_IS_1	IS3_271	173528	174743	-	IS3	1215	BK1	BK1_3
0	AJ11_1_IS_1	IS630_247	23529	24583		IS630	1054	AJ11	AJ11_1
3	AJ11_1_IS_2	IS110_184	369918	371642	+	IS110	1724	AJ11	AJ11_1
6	AJ11_1_IS_3	IS66_46	663766	666242		IS66	2476	AJ11	AJ11_1
9	AJ11_1_IS_4	IS630_247	904586	905640		IS630	1054	AJ11	AJ11_1
12	AJ11_1_IS_5	IS110_208	1201737	1202920	+	IS110	1183	AJ11	AJ11_1
15	AJ11_1_IS_6	IS481_240	1203019	1204128	-	IS481	1109	AJ11	AJ11_1
18	AJ11_1_IS_7	IS256_128	1205619	1206885	-	IS256	1266	AJ11	AJ11_1
21	AJ11_1_IS_8	IS3_204	2039162	2040415	-	IS3	1253	AJ11	AJ11_1
24	AJ11_1_IS_9	IS3_204	2059647	2060907	+	IS3	1260	AJ11	AJ11_1
27	AJ11_1_IS_10	IS3_204	2145599	2146852	-	IS3	1253	AJ11	AJ11_1
30	AJ11_1_IS_11	IS6_303	2183189	2184056	+	IS6	867	AJ11	AJ11_1
33	AJ11_1_IS_12	IS630_247	2194969	2196024		IS630	1055	AJ11	AJ11_1
36	AJ11_1_IS_13	IS66_46	2235065	2237542		IS66	2477	AJ11	AJ11_1
39	AJ11_1_IS_14	IS3_271	2254356	2255572	+	IS3	1216	AJ11	AJ11_1
42	AJ11_1_IS_15	IS630_247	2298447	2299500	+	IS630	1053	AJ11	AJ11_1
45	AJ11_1_IS_16	IS110_208	2842396	2843566	-	IS110	1170	AJ11	AJ11_1
48	AJ11_1_IS_17	IS630_247	3312470	3313525		IS630	1055	AJ11	AJ11_1
51	AJ11_1_IS_18	IS3_271	3554300	3555516	-	IS3	1216	AJ11	AJ11_1
54	AJ11_1_IS_19	IS66_46	3561531	3564008	-	IS66	2477	AJ11	AJ11_1
57	AJ11_1_IS_20	IS630_247	3763612	3764667		IS630	1055	AJ11	AJ11_1
60	AJ11_1_IS_21	IS3_271	4217749	4218965	-	IS3	1216	AJ11	AJ11_1
63	AJ11_1_IS_22	IS630_247	4374604	4375659		IS630	1055	AJ11	AJ11_1
66	AJ11_2_IS_1	IS3_506	187953	189245	+	IS3	1292	AJ11	AJ11_2
69	AJ11_2_IS_2	IS3_204	452011	453264	+	IS3	1253	AJ11	AJ11_2
72	AJ11_2_IS_3	IS630_247	485334	486386		IS630	1052	AJ11	AJ11_2
75	AJ11_2_IS_4	IS630_247	507431	508484	+	IS630	1053	AJ11	AJ11_2
78	AJ11_2_IS_5	IS6_292	567884	568707		IS6	823	AJ11	AJ11_2
81	AJ11_2_IS_6	IS110_184	711191	712489	-	IS110	1298	AJ11	AJ11_2
84	AJ11_2_IS_7	IS110_208	715937	716940	+	IS110	1003	AJ11	AJ11_2
87	AJ11_2_IS_8	IS3_204	789681	790934	+	IS3	1253	AJ11	AJ11_2
90	AJ11_2_IS_9	IS630_247	797823	798876	+	IS630	1053	AJ11	AJ11_2
93	AJ11_2_IS_10	IS3_271	839472	840690	+	IS3	1218	AJ11	AJ11_2
96	AJ11_2_IS_11	IS6_292	883167	883991	-	IS6	824	AJ11	AJ11_2
99	AJ11_2_IS_12	IS630_247	888948	890000		IS630	1052	AJ11	AJ11_2
102	AJ11_2_IS_13	IS6_292	914723	915547	+	IS6	824	AJ11	AJ11_2
105	AJ11_2_IS_14	IS3_506	922329	923620	-	IS3	1291	AJ11	AJ11_2
108	AJ11_3_IS_1	IS6_303	15805	19569	-	IS6	3764	AJ11	AJ11_3
109	AJ11_3_IS_2	IS66_46	26932	28621	-	IS66	1689	AJ11	AJ11_3
112	AJ11_3_IS_3	IS66_46	42442	44126	-	IS66	1684	AJ11	AJ11_3
115	AJ11_3_IS_4	IS3_271	45787	47003	-	IS3	1216	AJ11	AJ11_3
118	AJ11_3_IS_5	IS110_208	107076	108416	+	IS110	1340	AJ11	AJ11_3
121	AJ11_3_IS_6	IS6_303	150991	151798	-	IS6	807	AJ11	AJ11_3
124	AJ11_3_IS_7	IS481_240	179406	180751	-	IS481	1345	AJ11	AJ11_3
127	AJ11_3_IS_8	IS5_222	188086	189164	+	IS5	1078	AJ11	AJ11_3
130	AJ11_3_IS_9	IS6_292	242179	243005	-	IS6	826	AJ11	AJ11_3
133	AJ11_3_IS_10	IS3_271	283796	285011	+	IS3	1215	AJ11	AJ11_3
136	AJ11_3_IS_11	IS110_208	287595	288980	+	IS110	1385	AJ11	AJ11_3
139	AJ11_3_IS_12	IS3_271	290932	292148		IS3	1216	AJ11	AJ11_3
142	AJ11_3_IS_13	IS256_128	312555	313896	-	IS256	1341	AJ11	AJ11_3
145	AJ11_3_IS_14	IS6_303	377459	381223	-	IS6	3764	AJ11	AJ11_3
146	AJ11_4_IS_1	IS110_184	13254	14657		IS110	1403	AJ11	AJ11_4
149	AJ11_4_IS_2	IS110_170	15815	21090	-	IS110	5275	AJ11	AJ11_4
152	AJ11_4_IS_3	IS6_292	34252	35070	+	IS6	818	AJ11	AJ11_4
155	AJ11_4_IS_4	IS6_303	50463	51271		IS6	808	AJ11	AJ11_4
158	AJ11_4_IS_5	IS6_303	59240	60048		IS6	808	AJ11	AJ11_4
161	AJ11_4_IS_6	IS256_128	89770	91473		IS256	1703	AJ11	AJ11_4
164	AJ11_4_IS_7	IS3_271	97897	99113	-	IS3	1216	AJ11	AJ11_4
167	AJ11_4_IS_8	IS3_271	102652	103868	+	IS3	1216	AJ11	AJ11_4
170	AJ11_4_IS_9	IS110_208	122411	123445	-	IS110	1034	AJ11	AJ11_4
173	AJ11_4_IS_10	IS256_128	217181	218884	-	IS256	1703	AJ11	AJ11_4
176	AJ11_4_IS_11	IS110_184	238137	239540	-	IS110	1403	AJ11	AJ11_4
179	AJ11_4_IS_12	IS110_184	245898	247301	+	IS110	1403	AJ11	AJ11_4
182	AJ11_4_IS_13	IS3_271	271833	273049	-	IS3	1216	AJ11	AJ11_4
185	AJ11_4_IS_14	IS110_208	273428	274798	+	IS110	1370	AJ11	AJ11_4
188	AJ11_4_IS_15	IS110_208	285770	286940	-	IS110	1170	AJ11	AJ11_4
191	AJ11_4_IS_16	IS6_303	300231	301039	+	IS6	808	AJ11	AJ11_4
194	AJ11_4_IS_17	IS6_303	308767	309575		IS6	808	AJ11	AJ11_4
197	AJ11_4_IS_18	IS6_292	326156	326974	+	IS6	818	AJ11	AJ11_4
200	AJ11_4_IS_19	IS110_184	345980	347382		IS110	1402	AJ11	AJ11_4
203	AJ11_4_IS_20	IS110_170	348539	353814		IS110	5275	AJ11	AJ11_4
0	G7_1_IS_1	IS66_46	2253043	2254556	+	IS66	1513	G7	G7_1
3	G7_1_IS_2	IS6_303	2260037	2260993	+	IS6	956	G7	G7_1
6	G7_2_IS_1	IS66_46	642886	644400	+	IS66	1514	G7	G7_2
0	AO1_1_IS_1	IS6_303	1137697	1138859	+	IS6	1162	AO1	AO1_1
3	AO1_1_IS_2	IS6_303	1523457	1524386	+	IS6	929	AO1	AO1_1
6	AO1_2_IS_1	IS6_303	166676	167535	-	IS6	859	AO1	AO1_2
9	AO1_2_IS_2	IS6_292	253203	254030	+	IS6	827	AO1	AO1_2
12	AO1_2_IS_3	IS6_292	265785	266602	+	IS6	817	AO1	AO1_2
15	AO1_2_IS_4	IS6_292	642446	643267	-	IS6	821	AO1	AO1_2
18	AO1_5_IS_1	IS3_271	124	985	-	IS3	861	AO1	AO1_5
0	B1_1_IS_1	IS1182_100	106900	108432		IS1182	1532	B1	B1_1
3	B1_1_IS_2	IS1182_100	108439	109968		IS1182	1529	B1	B1_1
6	B1_1_IS_3	IS1182_100	288986	290541	+	IS1182	1555	B1	B1_1
9	B1_1_IS_4	IS110_208	787339	788616	+	IS110	1277	B1	B1_1
12	B1_1_IS_5	IS1182_100	838533	840063	+	IS1182	1530	B1	B1_1
15	B1_1_IS_6	IS3_271	844279	845448		IS3	1169	B1	B1_1
18	B1_1_IS_7	IS3_271	857807	858977	+	IS3	1170	B1	B1_1
21	B1_1_IS_8	IS3_271	866041	867238	+	IS3	1197	B1	B1_1
24	B1_1_IS_9	IS1182_100	869501	870957	-	IS1182	1456	B1	B1_1
27	B1_1_IS_10	IS3_168	870432	871660	-	IS3	1228	B1	B1_1
30	B1_1_IS_11	IS110_170	872442	873892	+	IS110	1450	B1	B1_1
33	B1_1_IS_12	IS3_271	876586	877755		IS3	1169	B1	B1_1
36	B1_1_IS_13	IS3_271	884789	885959	+	IS3	1170	B1	B1_1
39	B1_1_IS_14	IS3_239|IS3||protein:plasmid:133558	887256	888535	-	IS3	1279	B1	B1_1
42	B1_1_IS_15	IS110_208	888933	890397	+	IS110	1464	B1	B1_1
45	B1_1_IS_16	IS1182_100	903599	905131		IS1182	1532	B1	B1_1
48	B1_1_IS_17	IS3_271	906706	907875		IS3	1169	B1	B1_1
51	B1_1_IS_18	IS3_271	937433	938649	-	IS3	1216	B1	B1_1
54	B1_1_IS_19	IS3_271	939558	940728	-	IS3	1170	B1	B1_1
57	B1_1_IS_20	IS3_271	1304482	1305651		IS3	1169	B1	B1_1
60	B1_1_IS_21	IS3_271	1330000	1331170	-	IS3	1170	B1	B1_1
63	B1_1_IS_22	IS110_179	1433878	1434976	+	IS110	1098	B1	B1_1
66	B1_1_IS_23	IS3_271	1660386	1661556	+	IS3	1170	B1	B1_1
69	B1_1_IS_24	IS3_271	2155673	2156843	+	IS3	1170	B1	B1_1
72	B1_1_IS_25	IS3_271	2157756	2158925		IS3	1169	B1	B1_1
75	B1_1_IS_26	IS110_184	2182390	2183985	+	IS110	1595	B1	B1_1
78	B1_1_IS_27	IS3_271	2696395	2697592	-	IS3	1197	B1	B1_1
81	B1_1_IS_28	IS1182_100	3164343	3165873		IS1182	1530	B1	B1_1
84	B1_1_IS_29	IS1182_100	3366163	3367695	+	IS1182	1532	B1	B1_1
87	B1_1_IS_30	IS110_184	3524942	3526186	+	IS110	1244	B1	B1_1
90	B1_1_IS_31	IS1182_100	3551784	3553313		IS1182	1529	B1	B1_1
93	B1_1_IS_32	IS1182_100	3553320	3554850	-	IS1182	1530	B1	B1_1
96	B1_1_IS_33	IS3_271	3629349	3630545		IS3	1196	B1	B1_1
99	B1_1_IS_34	IS1182_100	3737391	3738921		IS1182	1530	B1	B1_1
102	B1_1_IS_35	IS3_168	3945382	3946612		IS3	1230	B1	B1_1
105	B1_1_IS_36	IS3_168	4099879	4101108		IS3	1229	B1	B1_1
108	B1_1_IS_37	IS1182_100	4136284	4137837	-	IS1182	1553	B1	B1_1
111	B1_1_IS_38	IS3_271	4155619	4156789	+	IS3	1170	B1	B1_1
114	B1_1_IS_39	IS1182_100	4156799	4158345	+	IS1182	1546	B1	B1_1
117	B1_1_IS_40	IS1182_100	4162693	4164217	+	IS1182	1524	B1	B1_1
120	B1_1_IS_41	IS3_271	4165826	4166996	+	IS3	1170	B1	B1_1
123	B1_1_IS_42	IS1182_100	4175115	4176645		IS1182	1530	B1	B1_1
126	B1_1_IS_43	IS110_184	4181509	4183081	+	IS110	1572	B1	B1_1
129	B1_1_IS_44	IS6_292	4183105	4184267	-	IS6	1162	B1	B1_1
132	B1_1_IS_45	IS1182_100	4188898	4190428	+	IS1182	1530	B1	B1_1
135	B1_1_IS_46	IS3_271	4204543	4205713	+	IS3	1170	B1	B1_1
138	B1_1_IS_47	IS3_271	4232435	4233604		IS3	1169	B1	B1_1
141	B1_1_IS_48	IS110_208	4282667	4284143	+	IS110	1476	B1	B1_1
144	B1_1_IS_49	IS1182_100	4316552	4318083		IS1182	1531	B1	B1_1
147	B1_1_IS_50	IS6_303	4331037	4331845	-	IS6	808	B1	B1_1
150	B1_1_IS_51	IS6_303	4352547	4353355		IS6	808	B1	B1_1
153	B1_1_IS_52	IS3_271	4357113	4358310	+	IS3	1197	B1	B1_1
156	B1_1_IS_53	IS110_208	4378436	4379900	-	IS110	1464	B1	B1_1
159	B1_1_IS_54	IS110_142	4380858	4382660	-	IS110	1802	B1	B1_1
162	B1_1_IS_55	IS3_271	4440476	4441646	-	IS3	1170	B1	B1_1
165	B1_1_IS_56	IS3_271	4452700	4453870	+	IS3	1170	B1	B1_1
168	B1_2_IS_1	IS3_271	3479	4649		IS3	1170	B1	B1_2
171	B1_2_IS_2	IS1182_100	14633	17708		IS1182	3075	B1	B1_2
174	B1_2_IS_3	IS110_208	22367	29479	+	IS110	7112	B1	B1_2
177	B1_2_IS_4	IS3_168	31453	32683	+	IS3	1230	B1	B1_2
180	B1_2_IS_5	IS3_271	47611	48781		IS3	1170	B1	B1_2
183	B1_2_IS_6	IS3_168	49103	50333	+	IS3	1230	B1	B1_2
186	B1_2_IS_7	IS3_168	51228	52456	-	IS3	1228	B1	B1_2
189	B1_2_IS_8	IS481_30|IS481||protein:vir:99858	54367	56797		IS481	2430	B1	B1_2
192	B1_2_IS_9	IS110_208	63032	64404	+	IS110	1372	B1	B1_2
195	B1_2_IS_10	IS110_170	64627	66225	-	IS110	1598	B1	B1_2
198	B1_2_IS_11	IS6_303	66006	66824	-	IS6	818	B1	B1_2
201	B1_2_IS_12	IS3_271	72165	73334		IS3	1169	B1	B1_2
204	B1_2_IS_13	IS110_142	80066	81260	-	IS110	1194	B1	B1_2
207	B1_2_IS_14	IS481_213	87880	88609	-	IS481	729	B1	B1_2
210	B1_2_IS_15	IS3_168	105304	106533	+	IS3	1229	B1	B1_2
213	B1_2_IS_16	IS66_46	106203	108592	+	IS66	2389	B1	B1_2
216	B1_2_IS_17	IS110_208	113512	115060	+	IS110	1548	B1	B1_2
219	B1_2_IS_18	IS110_184	128185	129495	+	IS110	1310	B1	B1_2
222	B1_2_IS_19	IS3_271	139790	140959		IS3	1169	B1	B1_2
225	B1_2_IS_20	IS3_271	186234	187404		IS3	1170	B1	B1_2
228	B1_2_IS_21	IS110_236	200363	201358	-	IS110	995	B1	B1_2
231	B1_2_IS_22	IS3_271	202169	203339		IS3	1170	B1	B1_2
234	B1_2_IS_23	IS481_30|IS481||protein:vir:99858	220182	221763		IS481	1581	B1	B1_2
237	B1_2_IS_24	IS3_271	221799	222969		IS3	1170	B1	B1_2
240	B1_2_IS_25	IS3_271	223089	224286	+	IS3	1197	B1	B1_2
243	B1_2_IS_26	IS3_271	226159	227328		IS3	1169	B1	B1_2
246	B1_2_IS_27	ISNCY_86	248156	249926	+	ISNCY	1770	B1	B1_2
249	B1_2_IS_28	IS110_179	260307	261762	+	IS110	1455	B1	B1_2
252	B1_2_IS_29	IS481_30|IS481||protein:vir:99858	277452	278964		IS481	1512	B1	B1_2
255	B1_2_IS_30	IS3_271	278986	280156		IS3	1170	B1	B1_2
258	B1_2_IS_31	IS3_168	293272	294502	-	IS3	1230	B1	B1_2
261	B1_2_IS_32	IS110_170	295665	297206	+	IS110	1541	B1	B1_2
264	B1_2_IS_33	IS3_271	301690	302860		IS3	1170	B1	B1_2
267	B1_2_IS_34	IS3_271	314801	315970		IS3	1169	B1	B1_2
